Sample ID,SiO2,Si_err,Al2O3,Al_err,MgO,Mg_err,Na2O,Na_err,F,F_err,CaO,Ca_err,Cl,Cl_err,SO3,S_err,P2O5,P_err,Cr2O3,Cr_err,MnO,Mn_err,FeO,Fe_err,K2O,K_err,TiO2,Ti_err,Total,Si(L-value),Al(L-value),Mg(L-value),Na(L-value),Na(L-value),F(L-value),Na(L-value),Ca(L-value),Cl(L-value),S(L-value),P(L-value),Cr(L-value),Mn(L-value),Fe(L-value),Current
HHPST_glass 20,58.7586,0.42,16.1832,0.57,3.6394,1.20,3.4285,3.53,0,NA,7.2093,0.73,0.0307,39.92,0.06,63.72,0.3481,9.29,0.0016,1515.69,0.1645,13.80,7.3153,1.13,1.7938,1.52,0.9287,2.27,99.8617,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,10.01
HHPST_glass 21,59.042,0.42,16.1241,0.57,3.622,1.20,3.477,3.51,0.0873,106.22,7.1236,0.74,0.0265,45.60,0.0143,254.13,0.4809,7.42,0,NA,0.1338,16.49,7.2318,1.14,1.7865,1.52,0.9196,2.28,100.0694,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,10
NIST610 3,69.2316,0.39,1.9714,1.76,0.0674,18.42,13.369,1.76,0.1551,63.40,11.3139,0.58,0.0438,29.17,0.0909,43.41,0.1356,19.25,0.0328,76.98,0.0641,32.03,0.0642,30.23,0.0288,28.13,0.0921,14.00,96.6607,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,10
NIST610 4,69.678,0.39,1.9246,1.79,0.0961,13.49,13.2928,1.77,0.1165,81.70,11.2997,0.58,0.0377,33.26,0.1653,25.57,0.1224,20.97,0.059,44.16,0.0224,87.30,0.0624,31.04,0.0472,18.06,0.0755,16.79,96.9996,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,9.99
BCR2G 2,54.0664,0.44,13.674,0.62,3.4331,1.23,3.1807,3.67,0.0365,241.93,7.1355,0.74,0.0242,49.54,0.0497,76.08,0.353,9.20,0.0158,156.39,0.2232,10.70,12.8981,0.84,1.6525,1.58,2.2352,1.33,98.9779,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,9.99
BHVO2G 2,50.0196,0.46,13.5427,0.63,7.1245,0.84,2.2877,4.37,0,NA,11.2959,0.58,0.0192,61.34,0,NA,0.2791,10.91,0.0731,36.23,0.1758,13.05,11.3091,0.90,0.4596,3.30,2.6491,1.20,99.2354,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,9.99
VGA99 2,50.8388,0.46,12.4398,0.66,5.0596,1.01,2.9059,3.85,0.0123,700.13,9.1351,0.65,0.0283,42.96,0.0472,79.90,0.4812,7.42,0,NA,0.2259,10.60,13.6017,0.82,0.7503,2.46,3.9368,0.97,99.4629,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,9.99
ATHOG 2,75.2477,0.37,12.4178,0.66,0.1018,12.84,3.5286,3.48,0,NA,1.62,1.67,0.0404,31.30,0.0328,113.16,0.05,46.26,0,NA,0.0949,22.36,3.4306,1.69,2.5625,1.25,0.2489,5.94,99.376,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,9.99
HHPST_glass 22,58.1642,0.43,16.3613,0.57,3.4287,1.24,3.5205,3.48,0.0625,144.96,6.9824,0.75,0.0213,55.71,0.0243,151.29,0.4064,8.33,0.0128,192.29,0.1648,13.78,6.9923,1.16,1.835,1.50,0.8296,2.45,98.8061,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,9.99
HHPST_glass 23,59.1922,0.42,16.5074,0.57,3.5992,1.20,3.5636,3.46,0,NA,6.9069,0.75,0.0404,31.30,0.0592,64.53,0.4999,7.23,0,NA,0.1583,14.26,6.9542,1.16,1.8679,1.48,0.8312,2.44,100.1804,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,9.98
HHPST_glass 24,57.2455,0.43,16.1087,0.57,3.5382,1.21,3.5073,3.49,0,NA,6.9211,0.75,0.018,65.15,0,NA,0.4045,8.36,0,NA,0.1602,14.12,7.2802,1.13,1.8025,1.51,0.8622,2.38,97.8484,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,9.98
HHPST_glass 25,56.7527,0.43,15.9858,0.58,3.5908,1.21,3.6205,3.43,0,NA,7.1842,0.74,0.0373,33.57,0.0713,54.26,0.4107,8.27,0.0305,82.54,0.1901,12.22,7.1326,1.15,1.7095,1.55,0.8613,2.39,97.5773,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,9.98
HHPST_glass 26,58.9729,0.42,16.2207,0.57,3.6158,1.20,3.6244,3.43,0,NA,7.0825,0.74,0.0236,50.69,0.0659,58.38,0.3954,8.49,0.0273,91.85,0.162,13.98,7.1415,1.14,1.8901,1.47,0.91,2.30,100.1321,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,9.99
HHPST_glass 27,58.6598,0.42,15.82,0.58,3.478,1.23,3.5009,3.49,0.1622,60.97,6.9287,0.75,0.0293,41.63,0.0424,88.48,0.4725,7.51,0.0048,507.40,0.1368,16.18,7.0081,1.16,1.8532,1.49,0.8508,2.40,98.9475,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,9.99
HHPST_glass 28,58.08,0.43,16.2637,0.57,3.5087,1.22,3.6501,3.42,0,NA,7.1316,0.74,0.0178,65.83,0.0733,52.89,0.3949,8.50,0,NA,0.1387,15.98,7.0282,1.15,1.7849,1.52,0.8932,2.33,98.9651,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,10
HHPST_glass 29,57.0679,0.43,16.1794,0.57,3.5923,1.20,3.4797,3.51,0,NA,7.1637,0.74,0.0328,37.62,0.0732,52.95,0.4411,7.87,0,NA,0.1629,13.92,7.1588,1.14,1.8014,1.51,0.82,2.46,97.9732,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,9.99
PRISPST_glass 30,52.4539,0.45,16.747,0.56,4.7399,1.04,3.3485,3.58,0,NA,7.9734,0.70,0.0279,43.52,0.067,57.48,0.3438,9.37,0,NA,0.1788,12.86,9.9554,0.96,1.3432,1.77,1.0626,2.08,98.2414,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,9.99
PRISPST_glass 31,53.2185,0.44,16.9694,0.56,4.6815,1.05,3.3017,3.60,0.2082,49.23,7.9161,0.70,0.0298,41.00,0.0443,84.86,0.403,8.38,0.0286,87.82,0.1932,12.06,9.8613,0.97,1.3467,1.77,1.0885,2.05,99.2908,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,9.99
