Sample_name,line_no,Na-23,Mg-24,Al-27,K-39,Ca-43,Ca-44,Ti-47,Cr-52,Mn-55,Fe-57,Ni-60,Cu-63,Zn-66,Rb-85,Sr-88,Y-89,Zr-90,Nb-93,Ba-138,La-139,Ce-140,Pr-141,Nd-146,Sm-147,Eu-153,Gd-157,Tb-159,Dy-163,Ho-165,Er-166,Tm-169,Yb-172,Lu-175,Hf-178,Ta-181,Pb-208,Th-232,U-238
PST2-SGS3a-11 ( line 4 ),54,20514.6029,20301.23129,79766.29903,12409.47625,33052.68053,31413.82781,2681.421328,0,859.083449,31214.85463,6.575848516,9.271963026,77.20158696,28.50385893,484.7950397,19.75709372,145.9503953,7.078036322,687.9393379,29.84869409,59.74296009,7.75907309,32.94458689,6.364540087,1.735840369,2.971718683,0.631064123,3.617122698,1.090641405,2.782169432,0.366965678,1.895767751,0.235540304,4.025759809,0.089837943,9.503983457,3.578974133,0.820707926
PST2-SGS3a-11 ( line 5 ),55,19990.82188,22601.7596,75334.58002,12947.97253,33447.32233,28433.85649,2396.532065,0,927.6135777,29066.59179,5.450252824,10.04925334,81.42354875,30.42092651,439.3150783,20.91079262,133.6453213,6.839450828,658.5943425,32.49038017,70.61076634,7.382244841,30.33436193,8.48605345,1.308768532,5.283055437,0.679607517,3.997872456,0.545320703,2.225735546,0.596319228,1.706190976,0.376864486,3.019319857,0.089837943,10.77766046,3.344287304,1.042520879
PST2-SGS16-12 ( line 1 ),56,15156.28686,3875.814443,83883.74979,3712.936737,35123.12012,35617.19272,890.2858611,0,299.2377744,10536.79412,0.829386299,4.436106861,29.5720094,9.357362316,728.6262301,6.129025423,40.31875308,1.511041462,293.8271252,10.90874833,25.09272836,2.906960778,9.123116369,3.333806712,0.619942989,1.320763859,0.339803759,1.903748788,0.099149219,0.278216943,0,0.947883875,0.141324182,1.610303924,0,4.291626545,0.704060485,0.310538134
PST2-SGS16-12 ( line 2 ),57,18805.05918,14995.21301,76168.49677,12887.5712,29766.8586,28215.77557,2195.710299,0,732.6825624,26115.5932,4.946696857,9.3830045,79.55930588,28.17571222,422.1333625,16.00757228,127.8854995,5.16935237,649.202244,27.95587884,58.18001711,7.321234553,27.11592921,6.364540087,1.446533641,6.603819296,0.436890547,3.426747819,0.74361914,1.947518603,0.504577808,1.327037426,0.518188669,3.019319857,0.26951383,8.122887906,2.522883405,0.643257564
PST2-SGS16-12 ( line 3 ),58,18882.26056,15363.39717,77361.46316,12745.34163,30284.46849,27839.61669,2304.334355,0,828.8434188,28574.64418,5.035559675,9.993732603,66.16234488,27.3501642,414.3352664,21.90585792,145.6711312,7.698358607,648.2566594,27.82025656,68.21282642,7.385833682,31.88022331,4.8491734,1.102120869,5.943437366,0.533977335,3.045998062,0.495746093,1.808410131,0.137612129,1.137460651,0.329756426,2.214167895,0.539027659,9.667668855,3.168272183,1.064702174
PST2-SGS16-12 ( line 4 ),59,19811.08151,13464.6117,77948.97143,11485.55094,29260.68759,28095.76966,2306.657273,0,821.716843,27328.28528,4.976317796,10.60446071,80.52798109,25.37437563,448.2342065,16.00757228,125.5990247,6.123694346,629.6424553,27.87922277,59.1177829,6.818796888,30.156968,5.152246737,1.033238315,5.613246402,0.582520729,4.188247335,0.941917577,0.973759301,0.04587071,2.654074851,0.329756426,3.824471819,0,7.018011465,2.874913648,0.727546486
PST2-SGS16-12 ( line 5 ),60,19418.95005,8925.975105,78878.86691,10883.42146,30513.24635,33157.07156,2051.468172,0,702.9521957,24882.28878,6.220397245,8.461360271,71.1336592,24.34503123,482.579773,17.78138435,111.6358202,6.203222844,604.9616355,28.46888484,56.44579271,6.136917199,25.59540981,5.152246737,1.584298749,4.292482542,0.485433941,2.474873425,0.495746093,2.643060961,0.183482839,2.085344526,0.235540304,2.214167895,0.539027659,8.511640728,2.22952487,0.643257564
PST3-HH-13 ( line 1 ),61,11630.1587,4325.912583,55751.43406,3764.507804,22494.58255,21178.76234,675.7478195,0,246.820851,7967.352657,3.554512712,10.65442937,15.69984924,13.43328979,319.771069,7.426936689,41.88961359,2.616487584,315.5543213,9.965289017,19.42759532,2.260969494,11.91073526,1.818440025,1.033238315,1.650954824,0.24271697,2.474873425,0.396596875,0.681631511,0.183482839,0.7583071,0.047108061,1.409015933,0,5.452769841,1.173434142,0.133087772
PST3-HH-13 ( line 2 ),62,14198.79162,6713.265232,53204.38534,10448.89971,23532.66206,22416.54259,1338.111208,0,386.9129525,13741.09534,5.62797846,15.98997216,25.33177072,27.27762651,301.4191922,18.53128863,134.3958436,6.123694346,432.3446405,23.52751667,52.626217,6.126150678,27.36934911,3.63688005,0.826590652,3.962291578,0.533977335,3.807497577,0.694044531,1.530193188,0.458707098,2.654074851,0.094216122,3.623183828,0.26951383,7.754595759,3.63764584,0.975976993
PST3-HH-13 ( line 3 ),63,14533.9511,5658.067618,67189.76539,6962.149475,29918.42393,27080.63195,1116.880952,0,327.983663,12382.97181,3.554512712,17.48347998,19.00796649,17.37105024,386.7292916,8.724847955,61.08901981,2.863025928,369.6810697,11.78734482,26.3259546,2.939260343,10.61829377,3.030733375,0.826590652,3.632100613,0.189319237,1.71337391,0.297447656,1.112867773,0.275224259,0.739349423,0.376864486,2.214167895,0.179675886,6.864556404,1.81882292,0.310538134
