Sample ID,SiO2,Si_err,Al2O3,Al_err,MgO,Mg_err,Na2O,Na_err,F,F_err,CaO,Ca_err,Cl,Cl_err,SO3,S_err,P2O5,P_err,Cr2O3,Cr_err,MnO,Mn_err,FeO,Fe_err,K2O,TiO2,Total,Si(L-value),Al(L-value),Mg(L-value),Na(L-value),Na(L-value),F(L-value),Na(L-value),Ca(L-value),Cl(L-value),S(L-value),P(L-value),Cr(L-value),Mn(L-value),Fe(L-value),Current,,
NIST610 3,69.2316,0.39,1.9714,1.81,0.0674,19.69,13.369,1.7800,0.1551,54.01,11.3139,0.59,0.0438,26.14,0.0909,52.37,0.1356,21.31,0.0328,80.62,0.0641,28.1,0.0642,29.17,0.0288,0.0921,96.6607,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,10,,
NIST610 4,69.678,0.39,1.9246,1.86,0.0961,13.72,13.2928,1.7767,0.1165,69.39,11.2997,0.59,0.0377,33.68,0.1653,18.89,0.1224,23.07,0.059,43.74,0.0224,79.1,0.0624,30.57,0.0472,0.0755,96.9996,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,9.99,,
BCR2G 2,54.0664,0.45,13.674,0.65,3.4331,1.25,3.1807,3.9333,0.0365,264.57,7.1355,0.74,0.0242,39.45,0.0497,65.72,0.353,10.33,0.0158,157.48,0.2232,9.85,12.8981,0.84,1.6525,2.2352,98.9779,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,9.99,,
BHVO2G 2,50.0196,0.47,13.5427,0.66,7.1245,0.84,2.2877,4.6967,0,100,11.2959,0.58,0.0192,68.35,0,75.51,0.2791,12.52,0.0731,33.68,0.1758,12.01,11.3091,0.9,0.4596,2.6491,99.2354,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,9.99,,
VGA99 2,50.8388,0.47,12.4398,0.69,5.0596,1.01,2.9059,4.1667,0.0123,1100.05,9.1351,0.65,0.0283,47.1,0.0472,53.76,0.4812,8.18,0,100,0.2259,9.85,13.6017,0.82,0.7503,3.9368,99.4629,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,9.99,,
ATHOG 2,75.2477,0.38,12.4178,0.66,0.1018,12.18,3.5286,3.7567,0,100,1.62,1.68,0.0404,33.56,0.0328,122.47,0.05,48.96,0,100,0.0949,20.86,3.4306,1.71,2.5625,0.2489,99.376,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,9.99,,
HHPST_glass 22,58.1642,0.44,16.3613,0.59,3.4287,1.22,3.5205,3.6367,0.0625,194.94,6.9824,0.75,0.0213,60.83,0.0243,104.58,0.4064,9.51,0.0128,180.28,0.1648,12.53,6.9923,1.16,1.835,0.8296,98.8061,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,9.99,,
HHPST_glass 23,59.1922,0.43,16.5074,0.58,3.5992,1.19,3.5636,3.6467,0,100,6.9069,0.76,0.0404,28.37,0.0592,44.35,0.4999,7.79,0,100,0.1583,12.76,6.9542,1.17,1.8679,0.8312,100.1804,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,9.98,,
HHPST_glass 24,57.2455,0.44,16.1087,0.59,3.5382,1.2,3.5073,3.6567,0,100,6.9211,0.76,0.018,56.57,0,100,0.4045,9.19,0,100,0.1602,12.4,7.2802,1.14,1.8025,0.8622,97.8484,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,9.98,,
HHPST_glass 25,56.7527,0.44,15.9858,0.6,3.5908,1.19,3.6205,3.5933,0,100,7.1842,0.74,0.0373,28.58,0.0713,87.18,0.4107,9.25,0.0305,73.87,0.1901,10.85,7.1326,1.15,1.7095,0.8613,97.5773,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,9.98,,
HHPST_glass 26,58.9729,0.43,16.2207,0.59,3.6158,1.19,3.6244,3.6400,0,100,7.0825,0.74,0.0236,70.34,0.0659,41.16,0.3954,9.3,0.0273,83.4,0.162,12.9,7.1415,1.15,1.8901,0.91,100.1321,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,9.99,,
HHPST_glass 27,58.6598,0.43,15.82,0.6,3.478,1.21,3.5009,3.6167,0.1622,65.72,6.9287,0.75,0.0293,52.62,0.0424,77.67,0.4725,8.44,0.0048,493.29,0.1368,14.5,7.0081,1.16,1.8532,0.8508,98.9475,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,9.99,,
HHPST_glass 28,58.08,0.44,16.2637,0.59,3.5087,1.2,3.6501,3.5667,0,100,7.1316,0.74,0.0178,59.28,0.0733,67.7,0.3949,9.03,0,100,0.1387,14.57,7.0282,1.16,1.7849,0.8932,98.9651,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,10,,
HHPST_glass 29,57.0679,0.44,16.1794,0.59,3.5923,1.19,3.4797,3.6433,0,100,7.1637,0.74,0.0328,37.43,0.0732,150.92,0.4411,8.63,0,100,0.1629,12.7,7.1588,1.14,1.8014,0.82,97.9732,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,9.99,,
PRISPST_glass 30,52.4539,0.46,16.747,0.59,4.7399,1.03,3.3485,3.7400,0,100,7.9734,0.7,0.0279,62.85,0.067,184.39,0.3438,10.29,0,100,0.1788,11.85,9.9554,0.96,1.3432,1.0626,98.2414,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,9.99,,
PRISPST_glass 31,53.2185,0.46,16.9694,0.58,4.6815,1.05,3.3017,3.8000,0.2082,24.25,7.9161,0.7,0.0298,48.34,0.0443,83.67,0.403,8.73,0.0286,84.98,0.1932,11.33,9.8613,0.97,1.3467,1.0885,99.2908,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,9.99,,
PRISPST_glass 32,52.8462,0.46,16.776,0.59,4.7835,1.03,3.3136,3.8733,0,100,8.0887,0.69,0.032,34.93,0,97.5,0.4312,8.39,0.0334,70.79,0.1778,11.73,9.8379,0.97,1.3012,1.1968,98.8183,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,9.99,,
PRISPST_glass 33,52.9048,0.46,16.8502,0.58,4.7228,1.04,3.344,3.8167,0.0245,479.58,7.9718,0.7,0.033,122.47,0.0918,100,0.2714,12.65,0,100,0.1719,11.76,9.8507,0.97,1.3632,1.0728,98.6729,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,9.99,,
PRISPST_glass 34,53.2952,0.46,17.1353,0.58,4.6419,1.05,3.3529,3.7233,0.2081,40.33,8.0385,0.7,0.0632,16.92,0.0561,389000000,0.3346,11.07,0,100,0.1747,11.99,9.8374,0.97,1.4546,1.1099,99.7024,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,10,,
PRISPST_glass 35,52.6552,0.46,17.2554,0.58,4.6814,1.04,3.2122,3.8667,0.2442,35.36,7.888,0.7,0.0131,118.88,0.0329,85.76,0.2601,13.26,0.027,87.84,0.1668,12.38,9.7787,0.97,1.3901,1.0721,98.6772,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,10.01,,
PRISPST_glass 36,52.2371,0.46,16.9486,0.58,4.6072,1.05,3.3948,3.7633,0.0977,123.74,8.0299,0.7,0.0449,30.23,0,100,0.3234,10.98,0,100,0.1765,11.76,10.0643,0.96,1.368,1.0905,98.3829,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,10,,
